code name|rev|avg_rank tot(張) bratio 5d%|cum10 b/s consec f5 mom|ma20 pp|rvYoY adj|eps adj q|fr adj|events
2515 中工|L0 🟢 Level 0（中性）：今日+2,283張（小量買超），累計+245張|39.0 2283 37.8 1.3|+1,549 5/5 c1 f5+1,492 m+500.0%|-0.23 6|28.8 0|0 2026-06-30|0.14 0|
1312 國喬|L0 🟢 Level 0（中性）：今日+2,221張（小量買超），累計+2,678張|39.0 2222 16.5 -1.4|+12K 6/4 c3 f5+9,600 m+353.2%|-0.51 8|89.2 0|5 2026-06-30|0.17 0|
4938 和碩|L-1 ❓ 狀態不明：今日+2,170張，累計-6,291張（負），未匹配任何預警等級|30.5 2170 23.4 2.6|-7,141 2/8 c1 f5-1,413 m+73.4%|0.54 11|34.1 0|5 2026-06-30|-0.03 0|
2404 漢唐|L0 🟢 Level 0（中性）：今日+1,984張（小量買超），累計+3,075張|19.0 1984 42.5 20.8|+3,140 6/4 c2 f5+1,689 m+500.0%|16.47 15|59.1 0|5 2026-06-30|0.78 5|
2886 兆豐金|L0 🟢 Level 0（中性）：今日+1,916張（小量買超），累計+38,597張|34.5 1916 9.3 -1.8|+45K 8/2 c3 f5+24K m-32.6%|-0.28 8|13.1 0|3 2025-12-31|0.03 0|
3711 日月光投控|L0 🟢 Level 0（中性）：今日+1,907張（小量買超），累計+17,650張|21.5 1908 13.1 14.5|+21K 7/3 c6 f5+27K m+472.5%|11.39 13|45.7 0|5 2026-06-30|0.16 0|重大訊息(今日)09-24,重大訊息(今日)09-24
3576 聯合再生|L0 🟢 Level 0（中性）：今日+1,882張（小量買超），累計+6,138張|41.0 1883 16.7 8.9|+5,629 5/5 c5 f5+8,685 m+377.6%|3.98 11|-13.0 0|5 2026-06-30|0.12 0|
2892 第一金|L0 🟢 Level 0（中性）：今日+1,867張（小量買超），累計+76,042張|38.5 1867 10.7 -0.4|+92K 9/1 c6 f5+23K m-41.8%|5.06 13|6.3 0|0 2025-12-31|0.05 0|
2646 星宇航空|L-1 ❓ 狀態不明：今日+1,794張，累計-5,935張（負），未匹配任何預警等級|41.0 1795 44.2 1.0|-7,646 2/8 c2 f5-235 m+98.8%|-0.67 6|47.8 0|-2 2026-06-30|0.05 0|
2208 台船|L0 🟢 Level 0（中性）：今日+1,793張（小量買超），累計+3,097張|42.0 1793 40.6 4.0|+3,152 7/3 c5 f5+3,290 m+500.0%|2.9 11|55.6 0|3 2026-06-30|0.14 0|
2313 華通|L-1 ❓ 狀態不明：今日+1,791張，累計-13,168張（負），未匹配任何預警等級|31.0 1791 18.7 -0.4|-11K 5/5 c2 f5-12K m-500.0%|-3.56 8|6.9 0|5 2026-06-30|0.33 0|
2351 順德|L0 🟢 Level 0（中性）：今日+1,713張（小量買超），累計+3,909張|32.0 1714 29.2 -4.2|+3,698 7/3 c2 f5+1,970 m+4.1%|-4.29 8|61.2 5|5 2026-06-30|1.06 5|
2103 台橡|L0 🟢 Level 0（中性）：今日+1,686張（小量買超），累計+5,976張|42.0 1687 39.8 3.9|+5,853 5/5 c1 f5+3,943 m+89.2%|2.24 11|21.8 0|5 2026-06-30|0.2 0|
3532 台勝科|L0 🟢 Level 0（中性）：今日+1,618張（小量買超），累計+1,451張|29.5 1618 14.4 1.1|+794 4/6 c1 f5+344 m-122.8%|7.62 13|29.3 0|5 2026-06-30|0.38 0|
1402 遠東新|L-1 ❓ 狀態不明：今日+1,583張，累計-8,322張（負），未匹配任何預警等級|43.5 1584 29.1 1.8|-8,380 3/7 c1 f5+6,868 m+123.3%|-1.77 6|15.2 0|5 2026-06-30|0.02 0|
3045 台灣大|L0 🟢 Level 0（中性）：今日+1,451張（小量買超），累計+19,380張|38.5 1451 21.3 -1.2|+20K 10/0 c10 f5+7,974 m+1.9%|2.56 11|8.5 0|3 2026-06-30|0.08 0|
2354 鴻準|L0 🟢 Level 0（中性）：今日+1,384張（小量買超），累計+10,961張|41.5 1384 21.6 1.1|+14K 7/3 c2 f5+697 m-94.1%|1.17 11|58.4 0|5 2026-06-30|-0.26 -3|
3042 晶技|L0 🟢 Level 0（中性）：今日+1,346張（小量買超），累計+14,094張|36.5 1346 4.1 6.7|+9,225 8/2 c8 f5+7,709 m+500.0%|8.87 13|23.5 0|5 2026-06-30|1.14 5|
2855 統一證|L0 🟢 Level 0（中性）：今日+1,241張（小量買超），累計+16,989張|44.5 1242 21.9 11.8|+17K 8/2 c5 f5+13K m+383.0%|10.92 13|109.9 0|5 2025-12-31|0.46 0|
2889 國票金|L0 🟢 Level 0（中性）：今日+1,239張（小量買超），累計+11,767張|49.0 1239 15.4 -2.9|+7,129 4/6 c1 f5-9,275 m-155.5%|1.33 11|51.9 5|3 2025-12-31|0.02 0|
2379 瑞昱|L0 🟢 Level 0（中性）：今日+1,221張（小量買超），累計+9,981張|30.5 1221 25.9 5.7|+10K 10/0 c10 f5+7,225 m+146.1%|5.39 13|28.1 0|-5 2026-06-30|0.39 0|
6531 愛普*|L0 🟢 Level 0（中性）：今日+1,216張（小量買超），累計+787張|30.0 1216 32.0 4.0|+1,727 5/5 c1 f5+1,023 m+100.3%|4.21 11|150.8 0|5 2026-06-30|0.77 5|
2867 ?|L-1 ❓ 數據不足：僅取得0天數據（需≥3天）|- 0 0 -|None None/None cNone f5None mNone|-0.07 8|-117.7 0|5 2025-12-31|0.0 0|
2382 廣達|L4 🔴🔴 Level 4：爆量賣超！今日賣超-1,994張（佔日均量13.7%）|- 0 0 -|+9,551 6/4 c0 f5-7,403 m+37.1%|0.82 11|177.5 0|5 2026-06-30|-0.13 -3|
2891 中信金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-3,231張（佔日均量8.2%）|- 0 0 -|+52K 8/2 c0 f5+3,017 m-74.9%|1.57 11|-2.5 0|3 2025-12-31|0.03 0|重大訊息(今日)09-24,重大訊息(今日)09-24,重大訊息(今日)09-24
2377 微星|L4 🔴🔴 Level 4：爆量賣超！今日賣超-629張（佔日均量10.6%）|- 0 0 -|+3,170 7/3 c0 f5+2,831 m+500.0%|-0.95 8|-6.1 0|5 2026-06-30|0.04 0|
4904 遠傳|L0 🟢 Level 0（中性）：今日+737張（小量買超），累計+5,990張|- 0 0 -|+6,357 9/1 c5 f5+1,131 m-37.7%|1.34 11|15.7 0|0 2026-06-30|0.02 0|
5876 上海商銀|L0 🟢 Level 0（中性）：今日+183張（小量買超），累計+17,113張|- 0 0 -|+19K 10/0 c10 f5+3,326 m-52.6%|3.9 11|7.1 0|-5 2025-12-31|0.03 0|
2395 研華|L0 🟢 Level 0（中性）：今日+340張（小量買超），累計+4,940張|- 0 0 -|+5,013 9/1 c3 f5+3,178 m+28.9%|2.58 11|87.5 0|5 2026-06-30|0.0 0|
5880 合庫金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-2,367張（佔日均量13.3%）|- 0 0 -|+34K 8/2 c0 f5+7,627 m-59.5%|0.38 11|-0.7 0|5 2025-12-31|0.01 0|重大訊息(今日)09-24
2303 聯電|L2 ⚠️⚠️ Level 2：單日反轉！前期買超+107,660張，今日賣超-10,|- 0 0 -|+158K 8/2 c0 f5+71K m+500.0%|14.33 13|30.7 0|5 2026-06-30|0.27 0|
3481 群創|L4 🔴🔴 Level 4：爆量賣超！今日賣超-57,816張（佔日均量25.1%）|- 0 0 -|-64K 4/6 c0 f5-17K m+22.1%|1.64 10|0.0 0|5 2026-06-30|0.5 0|
2454 聯發科|L0 🟢 Level 0（中性）：今日+519張（小量買超），累計+9,724張|- 0 0 -|+11K 8/2 c6 f5+8,379 m+468.1%|14.43 13|44.1 0|-5 2026-06-30|0.21 0|
3023 信邦|L4 🔴🔴 Level 4：爆量賣超！今日賣超-323張（佔日均量53.9%）|- 0 0 -|+237 7/3 c0 f5-48 m-140.3%|-3.45 6|32.5 5|0 2026-06-30|0.04 0|
6213 聯茂|L0 🟢 Level 0（中性）：今日+466張（小量買超），累計+1,806張|- 0 0 -|+1,527 7/3 c4 f5-1,371 m-77.9%|2.15 11|97.9 0|5 2026-06-30|0.57 5|重大訊息(今日)09-24
2884 玉山金|L0 🟢 Level 0（中性）：今日-1,473張（小量賣超），累計+16,930張|- 0 0 -|+25K 6/4 c0 f5-13K m-77.2%|3.78 11|19.3 0|5 2025-12-31|0.03 0|
2883 凱基金|L0 🟢 Level 0（中性）：今日-513張（小量賣超），累計+17,051張仍正|- 0 0 -|+31K 6/4 c0 f5+726 m-102.8%|6.06 13|58.7 0|5 2025-12-31|0.14 0|重大訊息(今日)09-24,重大訊息(今日)09-24
2353 宏碁|L0 🟢 Level 0（中性）：今日+988張（小量買超），累計+13,751張|- 0 0 -|+12K 5/5 c1 f5-1,639 m-98.1%|-0.3 8|38.4 0|5 2026-06-30|-0.07 0|
2890 永豐金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-2,152張（佔日均量7.0%）|- 0 0 -|+12K 5/5 c0 f5-8,923 m-85.4%|3.9 11|49.5 0|3 2025-12-31|0.03 0|
3443 創意|L0 🟢 Level 0（中性）：今日+421張（小量買超），累計+183張|- 0 0 -|+383 5/5 c1 f5-284 m+17.6%|30.68 15|111.0 0|3 2026-06-30|0.34 0|
3661 世芯-KY|L-1 ❓ 狀態不明：今日+117張，累計-2,787張（負），未匹配任何預警等級|- 0 0 -|-2,704 5/5 c2 f5+2,255 m+98.7%|-1.96 6|273.6 0|1 2026-06-30|0.09 0|
3017 奇鋐|L0 🟢 Level 0（中性）：今日+291張（小量買超），累計+192張|- 0 0 -|+451 4/6 c1 f5-532 m-79.4%|3.4 11|54.3 0|5 2026-06-30|-0.06 0|法說會09-22
2603 長榮|L0 🟢 Level 0（中性）：今日+169張（小量買超），累計+12,332張|- 0 0 -|+11K 8/2 c6 f5-6 m+15.1%|2.89 11|48.6 0|5 2026-06-30|-0.02 0|
2615 萬海|L4 🔴🔴 Level 4：爆量賣超！今日賣超-2,554張（佔日均量13.2%）|- 0 0 -|-1,188 7/3 c0 f5+2,187 m+165.4%|-0.83 8|65.6 0|5 2026-06-30|0.04 0|
1326 台化|L4 🔴🔴 Level 4：爆量賣超！今日賣超-2,802張（佔日均量15.3%）|- 0 0 -|-18K 2/8 c0 f5+869 m+110.5%|-4.64 8|31.7 0|5 2026-06-30|-0.04 0|
8299 ?|L-1 ❓ 數據不足：僅取得0天數據（需≥3天）|- 0 0 -|None None/None cNone f5None mNone|6.76 13|376.5 0|5 2026-06-30|0.37 0|
4958 臻鼎-KY|L4 🔴🔴 Level 4：爆量賣超！今日賣超-16,356張（佔日均量58.1%）|- 0 0 -|-29K 3/7 c0 f5-23K m-500.0%|-3.13 6|41.1 5|5 2026-06-30|1.01 5|
2327 國巨*|L4 🔴🔴 Level 4：爆量賣超！今日賣超-5,434張（佔日均量19.4%）|- 0 0 -|-1,468 4/6 c0 f5+4,189 m+184.9%|3.12 10|51.8 0|-5 2026-06-30|0.11 0|重大訊息(今日)09-24
2492 華新科|L4 🔴🔴 Level 4：爆量賣超！今日賣超-5,176張（佔日均量27.2%）|- 0 0 -|-19K 3/7 c0 f5-4,640 m+56.1%|0.16 10|45.5 0|5 2026-06-30|0.49 0|
3044 健鼎|L0 🟢 Level 0（中性）：今日-122張（小量賣超），累計+1,460張仍正|- 0 0 -|+550 5/5 c0 f5+1,640 m+249.5%|7.78 13|65.5 0|5 2026-06-30|0.26 0|
5388 中磊|L-1 ❓ 狀態不明：今日+107張，累計-1,215張（負），未匹配任何預警等級|- 0 0 -|-2,250 3/7 c1 f5-885 m+39.4%|-2.0 6|45.1 0|3 2026-06-30|0.16 0|
3665 貿聯-KY|L-1 ❓ 狀態不明：今日+70張，累計-286張（負），未匹配任何預警等級|- 0 0 -|-397 4/6 c1 f5-108 m+161.7%|11.34 13|54.0 0|3 2026-06-30|0.03 0|重大訊息(今日)09-24
2345 智邦|L4 🔴🔴 Level 4：爆量賣超！今日賣超-1,144張（佔日均量30.1%）|- 0 0 -|-4,614 1/9 c0 f5-339 m-166.5%|-4.45 6|59.4 0|5 2026-06-30|-0.1 -3|
2881 富邦金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-1,389張（佔日均量7.4%）|- 0 0 -|+7,885 5/5 c0 f5+6,927 m-64.0%|2.68 11|-29.3 -5|0 2025-12-31|0.01 0|
2882 國泰金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-1,349張（佔日均量5.6%）|- 0 0 -|-2,908 5/5 c0 f5+2,278 m-335.3%|0.47 11|-36.5 0|5 2025-12-31|0.04 0|法說會09-24,重大訊息(今日)09-24,重大訊息(今日)09-24
2885 元大金|L4 🔴🔴 Level 4：爆量賣超！今日賣超-4,718張（佔日均量19.6%）|- 0 0 -|-537 7/3 c0 f5+18K m+191.3%|1.41 11|65.4 0|0 2025-12-31|0.09 0|
