code name|rev|avg_rank tot(張) bratio 5d%|cum10 b/s consec f5 mom|ma20 pp|rvYoY adj|eps adj q|fr adj|events
2409 友達|L0 ✅ 法人買超中。今日+250,484張|2.5 250485 21.6 31.4|+413K 6/4 c2 f5+534K m+455.4%|27.27 15|-5.9 0|-5 2026-06-30|3.01 5|法說會09-23
2303 聯電|L0 ✅ 法人買超中。今日+60,104張|2.0 60104 21.3 15.5|+189K 9/1 c5 f5+89K m+500.0%|15.84 15|30.7 0|5 2026-06-30|0.27 0|
3481 群創|L-1 ❓ 狀態不明：今日+26,643張，累計-5,196張（負），未匹配任何預警等級|8.0 26643 5.3 7.9|+83K 5/5 c2 f5+52K m+120.0%|3.83 10|0.0 0|5 2026-06-30|0.5 0|
2449 京元電子|L0 ✅ 法人買超中。今日+20,249張|6.0 20249 29.1 23.3|+54K 7/3 c5 f5+42K m+500.0%|17.58 15|31.6 0|0 2026-06-30|0.06 0|
1101 台泥|L-1 ❓ 狀態不明：今日+15,312張，累計-14,545張（負），未匹配任何預警等|17.0 15312 52.3 3.2|+3,061 5/5 c1 f5+15K m+218.7%|0.58 11|10.6 0|0 2026-06-30|0.25 0|
8150 南茂|L0 ✅ 法人買超中。今日+11,912張|11.0 11913 9.2 25.0|+40K 7/3 c5 f5+41K m+500.0%|15.83 15|33.3 0|5 2026-06-30|1.76 5|
6168 宏齊|L0 ✅ 法人買超中。今日+11,624張|15.0 11625 17.0 50.4|+26K 9/1 c8 f5+22K m+500.0%|40.41 15|18.5 0|5 2026-06-30|5.6 5|
4958 臻鼎-KY|L-1 ❓ 狀態不明：今日+11,245張，累計-12,098張（負），未匹配任何預警等|8.5 11246 25.8 2.4|-14K 3/7 c1 f5-6,192 m-103.0%|0.35 10|41.1 0|5 2026-06-30|1.01 5|重大訊息(今日)09-23
3711 日月光投控|L0 ✅ 法人買超中。今日+10,751張|7.0 10751 47.8 17.1|+29K 7/3 c5 f5+25K m+500.0%|12.3 13|45.7 0|5 2026-06-30|0.16 0|法說會09-22,重大訊息(今日)09-23
2618 長榮航|L0 ✅ 法人買超中。今日+10,706張|17.5 10707 58.8 3.2|+22K 6/4 c2 f5-1,958 m+253.9%|0.78 11|24.9 0|-5 2026-06-30|0.03 0|
2610 華航|L0 ✅ 法人買超中。今日+10,473張|23.5 10474 52.1 3.0|+469 4/6 c2 f5+1,272 m+204.0%|0.64 10|27.2 0|-5 2026-06-30|0.08 0|
3189 景碩|L0 ✅ 法人買超中。今日+10,209張|7.5 10210 39.3 14.3|+14K 6/4 c1 f5+6,570 m+80.2%|8.94 13|40.6 0|5 2026-06-30|1.75 5|
6116 彩晶|L0 ✅ 法人買超中。今日+10,006張|25.5 10007 4.3 13.2|+11K 5/5 c2 f5+25K m+269.0%|7.87 13|8.0 0|3 2026-06-30|0.53 5|
6770 力積電|L0 ✅ 法人買超中。今日+9,321張|18.0 9322 9.8 7.3|+87K 7/3 c1 f5+137K m+328.4%|1.17 11|76.2 0|5 2026-06-30|1.61 5|
2892 第一金|L0 ✅ 法人買超中。今日+9,287張|22.5 9287 47.0 0.9|+96K 9/1 c5 f5+26K m-28.7%|6.09 13|6.3 0|0 2025-12-31|0.05 0|
2327 國巨*|L0 ✅ 法人買超中。今日+9,128張|13.0 9128 22.6 6.3|+439 4/6 c3 f5+2,999 m+206.1%|3.1 10|51.8 0|-5 2026-06-30|0.11 0|法說會09-22
2886 兆豐金|L0 ✅ 法人買超中。今日+8,422張|22.0 8423 39.8 -2.5|+42K 7/3 c2 f5+18K m-41.2%|1.06 11|13.1 0|3 2025-12-31|0.03 0|重大訊息(今日)09-23
2317 鴻海|L-1 ❓ 狀態不明：今日+7,725張，累計-5,432張（負），未匹配任何預警等級|14.5 7725 20.5 2.6|-2,848 4/6 c1 f5+1,600 m+156.0%|0.85 11|52.0 0|3 2026-06-30|0.04 0|法說會09-22,法說會09-23,重大訊息(今日)09-23
3016 嘉晶|L0 ✅ 法人買超中。今日+6,209張|18.5 6209 20.8 20.5|+5,453 4/6 c2 f5+7,439 m+425.2%|23.13 15|57.8 0|5 2026-06-30|0.85 5|
8046 南電|L0 ✅ 法人買超中。今日+5,982張|13.0 5982 37.4 7.4|+5,831 6/4 c1 f5+2,252 m-50.6%|3.67 11|40.6 0|5 2026-06-30|0.86 5|
3037 欣興|L0 ✅ 法人買超中。今日+5,835張|14.0 5836 62.0 17.8|+15K 6/4 c3 f5+9,145 m+75.2%|11.84 13|56.3 0|5 2026-06-30|0.17 0|
2481 強茂|L0 ✅ 法人買超中。今日+5,675張|19.5 5676 17.8 11.4|+12K 5/5 c1 f5+899 m+156.3%|9.0 13|29.8 0|5 2026-06-30|1.36 5|法說會09-21
6257 矽格|L0 ✅ 法人買超中。今日+5,351張|18.5 5352 27.0 20.0|+39K 8/2 c5 f5+31K m+461.3%|14.44 13|28.6 0|5 2026-06-30|0.62 5|重大訊息(今日)09-23
2354 鴻準|L0 ✅ 法人買超中。今日+4,234張|28.5 4234 48.0 1.5|+15K 7/3 c1 f5+17 m-98.3%|1.05 11|58.4 0|5 2026-06-30|-0.26 -3|
