抓取/刷新 1 檔營收（應有月份 2026-08）...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2409 |      2026-08 |    -5.9% |   +31.4% | 不調整
  2303 |      2026-08 |   +30.7% |   +15.5% | 不加分（年增+31%但回檔僅15.5%，未達-2%）
  3481 |      2026-08 |    +0.0% |    +7.9% | 不調整
  2449 |      2026-08 |   +31.6% |   +23.3% | 不加分（年增+32%但回檔僅23.3%，未達-2%）
  1101 |      2026-08 |   +10.6% |    +3.2% | 不加分（年增+11%但回檔僅3.2%，未達-5%）
  8150 |      2026-08 |   +33.3% |   +25.0% | 不加分（年增+33%但回檔僅25.0%，未達-2%）
  6168 |      2026-08 |   +18.5% |   +50.4% | 不加分（年增+18%但回檔僅50.4%，未達-5%）
  4958 |      2026-08 |   +41.1% |    +2.4% | 不加分（年增+41%但回檔僅2.4%，未達-2%）
  3711 |      2026-08 |   +45.7% |   +17.1% | 不加分（年增+46%但回檔僅17.1%，未達-2%）
  2618 |      2026-08 |   +24.9% |    +3.2% | 不加分（年增+25%但回檔僅3.2%，未達-5%）
  2610 |      2026-08 |   +27.2% |    +3.0% | 不加分（年增+27%但回檔僅3.0%，未達-5%）
  3189 |      2026-08 |   +40.6% |   +14.3% | 不加分（年增+41%但回檔僅14.3%，未達-2%）
  6116 |      2026-08 |    +8.0% |   +13.2% | 不調整
  6770 |      2026-08 |   +76.2% |    +7.3% | 不加分（年增+76%但回檔僅7.3%，未達-2%）
  2892 |      2026-08 |    +6.3% |    +0.9% | 不調整
  2327 |      2026-08 |   +51.8% |    +6.3% | 不加分（年增+52%但回檔僅6.3%，未達-2%）
  2886 |      2026-08 |   +13.1% |    -2.5% | 不加分（年增+13%但回檔僅-2.5%，未達-5%）
  2317 |      2026-08 |   +52.0% |    +2.6% | 不加分（年增+52%但回檔僅2.6%，未達-2%）
  3016 |      2026-08 |   +57.8% |   +20.5% | 不加分（年增+58%但回檔僅20.5%，未達-2%）
  8046 |      2026-08 |   +40.6% |    +7.4% | 不加分（年增+41%但回檔僅7.4%，未達-2%）
  3037 |      2026-08 |   +56.3% |   +17.8% | 不加分（年增+56%但回檔僅17.8%，未達-2%）
  2481 |      2026-08 |   +29.8% |   +11.4% | 不加分（年增+30%但回檔僅11.4%，未達-5%）
  6257 |      2026-08 |   +28.6% |   +20.0% | 不加分（年增+29%但回檔僅20.0%，未達-5%）
  2354 |      2026-08 |   +58.4% |    +1.5% | 不加分（年增+58%但回檔僅1.5%，未達-2%）
  1312 |      2026-08 |   +89.2% |    +2.4% | 不加分（年增+89%但回檔僅2.4%，未達-2%）
  3045 |      2026-08 |    +8.5% |    -0.8% | 不調整
  2885 |      2026-08 |   +65.4% |    +3.4% | 不加分（年增+65%但回檔僅3.4%，未達-2%）
  1718 |      2026-08 |    +4.4% |    +2.9% | 不調整
  6278 |      2026-08 |   +10.9% |   +18.3% | 不加分（年增+11%但回檔僅18.3%，未達-5%）
  1102 |      2026-08 |    -1.3% |    +0.7% | -5分（連續衰退7個月）
  2412 |      2026-08 |   +25.6% |    +1.0% | 不加分（年增+26%但回檔僅1.0%，未達-5%）
  6213 |      2026-08 |   +97.9% |    +4.6% | 不加分（年增+98%但回檔僅4.6%，未達-2%）
  5876 |      2026-08 |    +7.1% |    -0.2% | 不調整
  2891 |      2026-08 |    -2.5% |    -0.1% | 不調整
  2609 |      2026-08 |   +56.2% |    +3.4% | 不加分（年增+56%但回檔僅3.4%，未達-2%）
  2834 |      2026-08 |    +8.8% |    +1.4% | 不調整
  2382 |      2026-08 |  +177.5% |    +2.7% | 不加分（年增+178%但回檔僅2.7%，未達-2%）
  5880 |      2026-08 |    -0.7% |    +0.2% | 不調整
  3023 |      2026-08 |   +32.5% |    +0.6% | 不加分（年增+32%但回檔僅0.6%，未達-2%）
  2408 |      2026-08 |  +560.9% |    +6.8% | 不加分（年增+561%但回檔僅6.8%，未達-2%）
  2344 |      2026-08 |  +289.4% |    +7.2% | 不加分（年增+289%但回檔僅7.2%，未達-2%）
  2337 |      2026-08 |  +218.5% |    +3.1% | 不加分（年增+218%但回檔僅3.1%，未達-2%）
  8299 |      2026-08 |  +376.5% |   +13.8% | 不加分（年增+376%但回檔僅13.8%，未達-2%）
  2603 |      2026-08 |   +48.6% |    +3.9% | 不加分（年增+49%但回檔僅3.9%，未達-2%）
  2615 |      2026-08 |   +65.6% |    +4.0% | 不加分（年增+66%但回檔僅4.0%，未達-2%）
  2492 |      2026-08 |   +45.5% |    +3.7% | 不加分（年增+46%但回檔僅3.7%，未達-2%）
  3044 |      2026-08 |   +65.5% |    +9.9% | 不加分（年增+66%但回檔僅9.9%，未達-2%）
  2330 |      2026-08 |   +53.3% |    +3.1% | 不加分（年增+53%但回檔僅3.1%，未達-2%）
  2454 |      2026-08 |   +44.1% |   +16.9% | 不加分（年增+44%但回檔僅16.9%，未達-2%）
  5274 |      2026-08 |  +118.4% |   +19.3% | 不加分（年增+118%但回檔僅19.3%，未達-2%）
  2377 |      2026-08 |    -6.1% |    +3.7% | 不調整
  2395 |      2026-08 |   +87.5% |    +2.6% | 不加分（年增+88%但回檔僅2.6%，未達-2%）
  4904 |      2026-08 |   +15.7% |    -0.9% | 不加分（年增+16%但回檔僅-0.9%，未達-5%）
  3042 |      2026-08 |   +23.5% |    +1.4% | 不加分（年增+24%但回檔僅1.4%，未達-5%）
  2883 |      2026-08 |   +58.7% |    +3.0% | 不加分（年增+59%但回檔僅3.0%，未達-2%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-09-23\revenue_check.json

[OK] 全部 55 檔營收皆為 2026-08
