抓取 1 檔營收...

    股票 |      最新營收月 |     YoY% |     5日回檔 | 評分建議
----------------------------------------------------------------------
查詢近5日回檔...
  2303 |    2026-02 |    +6.3% |    -3.1% | 不調整
  3481 |    2026-05 |   +10.3% |    -6.1% | +5分（年增+10%+回檔-6.1%）
  2618 |    2026-05 |   +22.1% |    +1.8% | 不加分（年增+22%但回檔僅1.8%，未達-5%）
  1303 |    2026-05 |   +31.4% |    -6.7% | +5分（年增+31%+回檔-6.7%）
  2812 |    2026-02 |   +11.8% |    +2.0% | 不加分（年增+12%但回檔僅2.0%，未達-5%）
  2890 |    2026-05 |   +82.7% |    -1.7% | 不加分（年增+83%但回檔僅-1.7%，未達-2%）
  2412 |    2026-02 |    +2.7% |    +1.1% | 不調整
  5880 |    2026-05 |   +17.5% |    +1.8% | 不加分（年增+18%但回檔僅1.8%，未達-5%）
  2834 |    2026-02 |    -4.6% |    +1.1% | 不調整
  1101 |    2026-02 |    -5.8% |    +2.5% | 不調整
  2885 |    2026-02 |   +28.4% |    +2.9% | 不加分（年增+28%但回檔僅2.9%，未達-5%）
  3045 |    2026-02 |    -0.0% |    +1.3% | 不調整
  3231 |    2026-05 |   +39.2% |   +23.3% | 不加分（年增+39%但回檔僅23.3%，未達-2%）
  4904 |    2026-02 |    +5.1% |    +2.9% | 不調整
  2002 |    2026-02 |   -12.9% |    +3.8% | 不調整
  2610 |    2026-05 |   +27.7% |    +1.4% | 不加分（年增+28%但回檔僅1.4%，未達-5%）
  2884 |    2026-02 |    +4.0% |    +1.5% | 不調整
  2887 |    2026-05 |  +117.9% |    +0.4% | 不加分（年增+118%但回檔僅0.4%，未達-2%）
  2880 |    2026-05 |   +58.3% |    +3.8% | 不加分（年增+58%但回檔僅3.8%，未達-2%）
  2882 |    2026-05 |   +28.8% |    +4.8% | 不加分（年增+29%但回檔僅4.8%，未達-5%）
  2881 |    2026-02 |   -23.0% |    +5.3% | 不調整
  1718 |    2026-02 |    -0.1% |   -21.2% | 不調整
  1402 |    2026-02 |    -8.9% |    +0.5% | -5分（連續衰退10個月）
  2883 |    2026-04 |  +805.6% |    +3.9% | 不加分（年增+806%但回檔僅3.9%，未達-2%）
  2867 |    2026-02 |   -30.2% |    +0.9% | 不調整
  5876 |    2026-02 |    +0.6% |    +2.2% | 不調整
  8150 |    2026-05 |   +17.7% |   -12.7% | +5分（年增+18%+回檔-12.7%）
  2313 |    2026-02 |    +0.0% |    +0.3% | 不調整
  2332 |    2026-04 |   +18.5% |   +17.7% | 不加分（年增+18%但回檔僅17.7%，未達-5%）
  2317 |    2026-02 |    +8.1% |    +7.9% | 不調整
  2892 |    2026-05 |   +26.9% |    +2.5% | 不加分（年增+27%但回檔僅2.5%，未達-5%）
  2801 |    2026-05 |   +24.6% |    +3.6% | 不加分（年增+25%但回檔僅3.6%，未達-5%）
  5871 |    2026-02 |    -3.6% |    -2.0% | -5分（連續衰退10個月）
  5388 |    2026-03 |   +86.5% |    +9.4% | 不加分（年增+86%但回檔僅9.4%，未達-2%）
  4919 |    2026-02 |    -7.3% |    -2.2% | 不調整
  2646 |    2026-02 |   +41.5% |    +1.4% | 不加分（年增+42%但回檔僅1.4%，未達-2%）
  3491 |    2026-02 |   +57.1% |    -5.3% | +5分（年增+57%+回檔-5.3%）
  3163 |    2026-03 |   +23.7% |    +1.7% | 不加分（年增+24%但回檔僅1.7%，未達-5%）
  4979 |    2026-06 |   +27.7% |   +31.9% | 不加分（年增+28%但回檔僅31.9%，未達-5%）
  3363 |    2026-06 |   -15.7% |   +18.9% | -5分（連續衰退4個月）
  2455 |    2026-02 |   +15.9% |   +17.9% | 不加分（年增+16%但回檔僅17.9%，未達-5%）

結果已存: C:\Users\walter.huang\Documents\github\stock\data\2026-07-28\revenue_check.json
